Glass name,Glass catalog,Wavelength,Refractive index in web,Refractive index calculated,Difference of RI
K-PSFn203,SUMITA-PSF,0.975,1.9739161558095,1.9739161558094582,4.1744385725905886e-14
K-SKLD120,SUMITA-SKLD,0.955,1.5764417064237,1.5764417064236578,4.218847493575595e-14
