Given change in reference,Calculated by formula,Difference(10^-6)
-7.52688172043011e+000,-7.5089710203623214,-0.017910700067788277
-7.55760368663594e+000,-7.543159188548948,-0.014444498086992219
-7.59344598054276e+000,-7.576832568303517,-0.016613412239243175
-7.62672811059908e+000,-7.60999115962603,-0.01673695097305039
-7.64976958525346e+000,-7.642634962516484,-0.0071346227369755155
-7.77265745007680e+000,-7.756492167140122,-0.016165282936678516
-7.81105990783410e+000,-7.786757792485295,-0.024302115348804776
-7.84178187403994e+000,-7.816508629398413,-0.025273244641526915
-7.87762416794675e+000,-7.845336476759251,-0.032287691187498524
-7.91090629800307e+000,-7.87406498734955,-0.0368413106535197
-7.93138760880696e+000,-7.90227870950779,-0.029108899299170155
-7.94930875576037e+000,-7.929977643233973,-0.0193311125263973
-7.99283154121864e+000,-7.956782487452766,-0.03604905376587464
-7.74193548387097e+000,-7.72571175336289,-0.016223730508079903
-7.71889400921659e+000,-7.6944165511536,-0.024477458062990287
-8.09011776753712e+000,-8.07121196674899,-0.018905800788129312
-8.11059907834101e+000,-8.09560465364393,-0.014994424697080788
-8.14132104454685e+000,-8.119482552106811,-0.021838492440037882
-8.17460317460317e+000,-8.142845662137637,-0.03175751246553382
-8.20020481310804e+000,-8.165693983736404,-0.034510829371637186
-8.21812596006144e+000,-8.188027516903114,-0.03009844315832666
-8.23348694316436e+000,-8.210149891570836,-0.02333705159352384
-8.25140809011777e+000,-8.231446597332134,-0.019961492785636636
-8.26676907322069e+000,-8.252228514661374,-0.014540558559316352
-8.28981054787506e+000,-8.272777419747435,-0.017033128127625474
-8.31541218637993e+000,-8.292522509671263,-0.02288967670866704
-8.33333333333333e+000,-8.311752811163036,-0.021580522170294714
-8.34613415258577e+000,-8.330728246667439,-0.015405905918331797
-8.35637480798771e+000,-8.349174290536894,-0.0072005174508156244
-8.36149513568868e+000,-8.367090942771394,0.005595807082714899
-8.37429595494112e+000,-8.384478203370946,0.010182248429826402
-8.38709677419355e+000,-8.401105560537243,0.014008786343692847
-8.38709677419355e+000,-8.417441390528491,0.030344616334941676
-8.07219662058372e+000,-8.045950005579545,-0.026246615004174245
-8.48694316436252e+000,-8.513861343017728,0.02691817865520818
-8.52534562211981e+000,-8.52592810970847,0.0005824875886606407
-8.52022529441884e+000,-8.537639115555498,0.01741382113665857
-8.50998463901690e+000,-8.548820729767572,0.038836090750672625
-8.51254480286738e+000,-8.559472952344693,0.0469281494773135
-8.53046594982079e+000,-8.569458813683319,0.03899286386252854
-8.55094726062468e+000,-8.579059605652139,0.028112345027459185
-8.54838709677419e+000,-8.588131005986005,0.03974390921181481
-8.47926267281106e+000,-8.501098906562397,0.02183623375133692
-8.45622119815668e+000,-8.487995312466243,0.03177411430956312
-8.45622119815668e+000,-8.474181445402609,0.01796024724592904
-8.64055299539170e+000,-8.661377698622076,0.02082470323037633
-8.75832053251408e+000,-8.661165712667394,-0.09715481984668628
-8.64055299539170e+000,-8.661188313496828,0.02063531810512842
-8.64055299539170e+000,-8.660469536736626,0.019916541344926486
-8.64055299539170e+000,-8.659221368341473,0.01866837294977408
-8.64055299539170e+000,-8.657443808311372,0.01689081291967298
-8.64055299539170e+000,-8.655136856646317,0.014583861254617858
-8.64055299539170e+000,-8.652300513346315,0.011747517954615816
-8.63287250384025e+000,-8.648934778411359,0.01606227457110876
-8.62263184843830e+000,-8.64509737609224,0.022465527653940498
-8.61495135688684e+000,-8.640680210548979,0.025728853662139173
-8.60727086533538e+000,-8.63573365337077,0.028462788035389153
-8.59959037378392e+000,-8.630257704557609,0.03066733077368866
-8.59447004608295e+000,-8.624252364109498,0.029782318026548182
-8.59447004608295e+000,-8.617717632026434,0.02324758594348353
-8.58678955453149e+000,-8.61065350830842,0.023863953776929847
-8.56886840757809e+000,-8.603059992955458,0.03419158537736777
-8.54838709677419e+000,-8.595053529390803,0.04666643261661285
-8.54838709677419e+000,-8.586408583429533,0.03802148665534233
